z,EXP_FAC,MU_SH0ES,MU_SH0ES_ERR,D_L,D_L MAX,D_L MIN,SD,cz
0.0183,0.9821,34.9792,0.2185,99.0467,109.5307,89.5662,9.9823,5486.1936
0.0183,0.9821,34.2005,0.2806,69.199,78.7433,60.8116,8.9659,5486.1936
0.0184,0.9819,34.4393,0.2269,77.2432,85.7512,69.5793,8.086,5516.1728
0.0186,0.9818,34.492,0.2554,79.1407,89.0169,70.3603,9.3283,5576.1312
0.0186,0.9818,34.576,0.2962,82.2621,94.2863,71.7714,11.2575,5576.1312
0.0187,0.9817,34.6171,0.239,83.834,93.5873,75.0971,9.2451,5606.1104
0.0187,0.9817,34.5716,0.24,82.0956,91.6891,73.5059,9.0916,5606.1104
0.0187,0.9817,34.6066,0.2775,83.4296,94.8013,73.4219,10.6897,5606.1104
0.0188,0.9816,34.5466,0.2155,81.1559,89.6237,73.4881,8.0678,5636.0896
0.0188,0.9816,34.4866,0.321,78.9442,91.5218,68.095,11.7134,5636.0896
0.0191,0.9813,34.4286,0.2814,76.8635,87.4987,67.521,9.9889,5726.0272
0.0195,0.9809,34.7747,0.1954,90.1447,98.6326,82.3871,8.1227,5845.944
0.0195,0.9809,34.8085,0.1955,91.5588,100.1858,83.6746,8.2556,5845.944
0.0198,0.9806,34.757,0.4666,89.4129,110.8466,72.1237,19.3614,5935.8816
0.0198,0.9806,34.7394,0.4335,88.6911,108.2887,72.6402,17.8243,5935.8816
0.0198,0.9806,34.6865,0.4062,86.5566,104.3634,71.788,16.2877,5935.8816
0.02,0.9804,34.3648,0.2957,74.638,85.5273,65.1351,10.1961,5995.84
0.02,0.9804,34.6854,0.2043,86.5127,95.0463,78.7454,8.1504,5995.84
0.0201,0.9803,34.5121,0.1995,79.8767,87.5623,72.8656,7.3483,6025.8192
0.0202,0.9802,34.5072,0.2339,79.6966,88.7603,71.5585,8.6009,6055.7984
0.0202,0.9802,34.702,0.1925,87.1766,95.2559,79.7826,7.7367,6055.7984
0.0202,0.9802,34.5995,0.1883,83.1572,90.6905,76.2497,7.2204,6055.7984
0.0202,0.9802,34.5012,0.2956,79.4767,91.0654,69.3628,10.8513,6055.7984
0.0202,0.9802,34.576,0.1899,82.2621,89.7802,75.3736,7.2033,6055.7984
0.0202,0.9802,34.6482,0.1878,85.0433,92.727,77.9962,7.3654,6055.7984
0.0202,0.9802,34.9988,0.1877,99.9448,108.969,91.6678,8.6506,6055.7984
0.0203,0.9801,34.8165,0.2418,91.8967,102.7224,82.212,10.2552,6085.7776
0.0203,0.9801,34.5749,0.3758,82.2205,97.7562,69.1537,14.3012,6085.7776
0.0204,0.9801,34.5709,0.1877,82.0692,89.4791,75.2729,7.1031,6115.7568
0.0204,0.9801,34.5656,0.1777,81.8691,88.8512,75.4357,6.7078,6115.7568
0.0204,0.9801,34.4931,0.1908,79.1808,86.451,72.522,6.9645,6115.7568
0.0204,0.98,34.6552,0.2146,85.3179,94.1799,77.2897,8.4451,6115.7568
0.0205,0.9799,35.1263,0.3758,105.9888,126.0134,89.1463,18.4335,6145.736
0.0205,0.9799,34.556,0.3339,81.508,95.0563,69.8907,12.5828,6145.736
0.0206,0.9799,34.4168,0.2172,76.4469,84.4873,69.1718,7.6577,6175.7152
0.0206,0.9799,34.5647,0.2495,81.8352,91.7996,72.9523,9.4237,6175.7152
0.0208,0.9796,34.4863,0.3304,78.9333,91.9071,67.7908,12.0581,6235.6736
0.0208,0.9796,34.674,0.2309,86.0597,95.715,77.3785,9.1682,6235.6736
0.0208,0.9796,34.6349,0.2545,84.524,95.0347,75.1758,9.9295,6235.6736
0.0209,0.9795,34.8118,0.3002,91.698,105.2942,79.8574,12.7184,6265.6528
0.021,0.9795,34.6956,0.2165,86.9201,96.0326,78.6722,8.6802,6295.632
